IMADE_ID,IMAGE_PATH,SPLIT
1,./xmm_om_artefacts_512-36-COCO/images/S0677660101_L_png.rf.f6dfdbe6df25b3767c68d7e76444d490.jpg,train
2,./xmm_om_artefacts_512-36-COCO/images/S0671850301_B_png.rf.f218e56fba8139a83cec5d2ff4d8407a.jpg,train
3,./xmm_om_artefacts_512-36-COCO/images/S0790180301_V_png.rf.f3fbae84c71b709a6bddf46228afa52d.jpg,train
4,./xmm_om_artefacts_512-36-COCO/images/S0651790101_M_png.rf.f2a6b3efa7bab6ca9186b42bc9ac5f37.jpg,train
6,./xmm_om_artefacts_512-36-COCO/images/S0510181701_L_png.rf.f50d28a25e5ea91d27b37a0e0911a4d0.jpg,train
7,./xmm_om_artefacts_512-36-COCO/images/S0763910501_L_png.rf.f2226e11dd8785ab9c994785db68b589.jpg,train
8,./xmm_om_artefacts_512-36-COCO/images/S0412380101_S_png.rf.f71a57fec8a4bb8481f33ba09fdbeda1.jpg,train
9,./xmm_om_artefacts_512-36-COCO/images/S0741960101_L_png.rf.f30e4f289e07185b363a905598e34569.jpg,train
12,./xmm_om_artefacts_512-36-COCO/images/S0862430101_U_png.rf.f3aade2a00289b566b327f3a978ae654.jpg,train
13,./xmm_om_artefacts_512-36-COCO/images/S0700381101_L_png.rf.f5a5e16ebcfd2a2790221cc0d694d00b.jpg,train
15,./xmm_om_artefacts_512-36-COCO/images/S0671990101_S_png.rf.f506832bd87a817a5ada3983160d421c.jpg,train
16,./xmm_om_artefacts_512-36-COCO/images/S0690890201_M_png.rf.f6df4919de25351dc5996de596e84503.jpg,train
17,./xmm_om_artefacts_512-36-COCO/images/S0804050201_M_png.rf.f706fac894e66c19e2d6f5ca59b9c78a.jpg,train
18,./xmm_om_artefacts_512-36-COCO/images/S0670480401_M_png.rf.f32509bdc65bde2c66a91e13401f59b0.jpg,train
19,./xmm_om_artefacts_512-36-COCO/images/S0863230101_V_png.rf.f63dcdfb2eb544c7b6b5680a2d7ca51c.jpg,train
21,./xmm_om_artefacts_512-36-COCO/images/S0673550201_L_png.rf.f7695148046f1842e3d6605b1707f006.jpg,train
22,./xmm_om_artefacts_512-36-COCO/images/S0412591101_L_png.rf.f3feec96a08d2de96ca36743c5942228.jpg,train
23,./xmm_om_artefacts_512-36-COCO/images/S0841480401_V_png.rf.f6dab3f9a19b42fc587dcf1e2c3418e1.jpg,train
24,./xmm_om_artefacts_512-36-COCO/images/S0109930201_B_png.rf.f6f08609835f31d00cff82f076917bf3.jpg,train
25,./xmm_om_artefacts_512-36-COCO/images/S0090050801_L_png.rf.f7dfc3262de6656cdf74c331b7225598.jpg,train
26,./xmm_om_artefacts_512-36-COCO/images/S0830790401_U_png.rf.f8de57e73b29d228389b959c1b57bd76.jpg,train
27,./xmm_om_artefacts_512-36-COCO/images/S0764890301_U_png.rf.f8612aa078755d45fb78434630253986.jpg,train
28,./xmm_om_artefacts_512-36-COCO/images/S0747440139_L_png.rf.f92c971b4c799f5fd1cafdd79de96ec8.jpg,train
29,./xmm_om_artefacts_512-36-COCO/images/S0852590101_S_png.rf.f95af98c9a37523dda2d4663460af830.jpg,train
30,./xmm_om_artefacts_512-36-COCO/images/S0800732901_M_png.rf.fab554539747c04a5f7f094488c865c8.jpg,train
31,./xmm_om_artefacts_512-36-COCO/images/S0670880701_U_png.rf.fb377aa1ed3861c91927fa822a933ea9.jpg,train
33,./xmm_om_artefacts_512-36-COCO/images/S0018141301_S_png.rf.fa3555c9616c194021b590b8eb456963.jpg,train
34,./xmm_om_artefacts_512-36-COCO/images/S0606430701_L_png.rf.fa412251c5b8e80de7b4f41c6760027c.jpg,train
37,./xmm_om_artefacts_512-36-COCO/images/S0783160101_L_png.rf.faaa360b0f03dc6e4ec27dcf20d08653.jpg,train
40,./xmm_om_artefacts_512-36-COCO/images/S0653320101_M_png.rf.fb47bd2598e94dc0c292b0e158dfe5d8.jpg,train
41,./xmm_om_artefacts_512-36-COCO/images/S0059752301_B_png.rf.fc7a6ab4e3442104b84718cb298099d3.jpg,train
43,./xmm_om_artefacts_512-36-COCO/images/S0748591132_M_png.rf.fd6a80f71c757b7f900671a567c2bbe3.jpg,train
44,./xmm_om_artefacts_512-36-COCO/images/S0656202601_L_png.rf.fd9af5eb90e3d057b7db5a7acb43d005.jpg,train
45,./xmm_om_artefacts_512-36-COCO/images/S0202460101_U_png.rf.fcfa85a7b375c9ab02cbce712d7ab31c.jpg,train
46,./xmm_om_artefacts_512-36-COCO/images/S0761100201_B_png.rf.fc5b25ad30eafdf962aa66141eb8f55c.jpg,train
47,./xmm_om_artefacts_512-36-COCO/images/S0824150201_U_png.rf.fd9d5b764a83a477e3ee5ac20da76187.jpg,train
49,./xmm_om_artefacts_512-36-COCO/images/S0881901201_U_png.rf.fdd0ff433a74e09829afc58aedef1f2a.jpg,train
50,./xmm_om_artefacts_512-36-COCO/images/S0555880201_M_png.rf.fdcdee09ffc1bbe4238ae88742975c37.jpg,train
51,./xmm_om_artefacts_512-36-COCO/images/S0675010501_B_png.rf.fe20f9f9e01b5bbc7cc925eae97f970e.jpg,train
52,./xmm_om_artefacts_512-36-COCO/images/S0602560201_L_png.rf.fe9cb0fae1d2a1da63e4dadb226ed216.jpg,train
53,./xmm_om_artefacts_512-36-COCO/images/S0821871801_L_png.rf.ff5dacb7e7d72a5f82559c1f7a2fde2d.jpg,train
54,./xmm_om_artefacts_512-36-COCO/images/S0852590101_U_png.rf.ff16caf73a2ce1d20a2d9be65087eda3.jpg,train
55,./xmm_om_artefacts_512-36-COCO/images/S0414580101_B_png.rf.3247398edea0c5516ae5c3385fcad88c.jpg,train
56,./xmm_om_artefacts_512-36-COCO/images/S0883040201_U_png.rf.3358aac9ba9107ed8e75cd93b44d792b.jpg,train
57,./xmm_om_artefacts_512-36-COCO/images/S0783271401_U_png.rf.3541d90084c724025d5fce8a06a3b971.jpg,train
58,./xmm_om_artefacts_512-36-COCO/images/S0803080401_B_png.rf.338b4a7cd97fb60ece891275b7b6bb69.jpg,train
59,./xmm_om_artefacts_512-36-COCO/images/S0405680201_L_png.rf.37920c457a05f5d61ff1b2a6928a1b2f.jpg,train
